scen,fuel,rx,WS,time,TFL,TFC,ROS,ROSeq,HFI,Area,BUI,FFMC,LB,FROS,CFB,a,Prob
PIMAstrip_perp12,PIMA,strip_perp,12,50,1.79,4.09358177246537,11.7370597299354,11.8,14413.9841318403,10.0549445901386,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.00204922963068896
PIMAstrip_perp12,PIMA,strip_perp,12,55,1.79,4.09358177246537,11.7627064898963,11.8,14445.4802645699,12.6794959297302,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.000185699805783199
PIMAstrip_perp12,PIMA,strip_perp,12,60,1.79,4.09358177246537,11.7779027656788,11.8,14464.1424238357,15.6132869224476,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.000012657138463335
PIMAstrip_perp25,PIMA,strip_perp,25,2,1.79,4.09358177246537,4.15549338429867,22,5103.25559206964,0.000436750307394643,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.953351311512792
PIMAstrip_perp25,PIMA,strip_perp,25,4,1.79,4.09358177246537,7.52607198373597,22,9242.57732726516,0.00612128648135788,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.953119303670839
PIMAstrip_perp25,PIMA,strip_perp,25,6,1.79,4.09358177246537,10.2599952617542,22,12600.0388767294,0.027270210261158,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.952246466091611
PIMAstrip_perp25,PIMA,strip_perp,25,8,1.79,4.09358177246537,12.4775185354549,22,15323.3227327011,0.0761816948843976,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.950168359948182
PIMAstrip_perp25,PIMA,strip_perp,25,10,1.79,4.09358177246537,14.2761825685469,22,17532.2162228974,0.165104239908511,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.946169142583186
PIMAstrip_perp25,PIMA,strip_perp,25,12,1.79,4.09358177246537,15.7351040339075,22,19323.880518315,0.305171666516652,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.939251068778383
PIMAstrip_perp25,PIMA,strip_perp,25,14,1.79,4.09358177246537,16.9184555675628,22,20777.1243988921,0.505962863708483,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.927874944915472
PIMAstrip_perp25,PIMA,strip_perp,25,16,1.79,4.09358177246537,17.8782884889725,22,21955.8707644006,0.775412786159966,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.909520640355753
PIMAstrip_perp25,PIMA,strip_perp,25,18,1.79,4.09358177246537,18.6568223487935,22,22911.9683697437,1.1199080573582,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.879995476520467
PIMAstrip_perp25,PIMA,strip_perp,25,20,1.79,4.09358177246537,19.2883020129809,22,23687.4724626437,1.5444679426634,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.832531275962914
PIMAstrip_perp25,PIMA,strip_perp,25,22,1.79,4.09358177246537,19.8005039695843,22,24316.4946406556,2.05295353587451,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.757334557472717
PIMAstrip_perp25,PIMA,strip_perp,25,24,1.79,4.09358177246537,20.2159581151836,22,24826.7032959717,2.64827390251073,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.644068210440441
